Service;Unit;Contact;Audience;Phase;URL;Latitude;Longitude;Office;Description;Description_EN;Description_DE;Description_IT
Biological Electron Microscopy Facility;BEM;bioem@epfl.ch;Researchers;Data Collection;https://www.epfl.ch/research/facilities/biological-electron-microscopy/;46.52015168;6.563787389;SV 1510;Plateforme de microscopie électronique pour échantillons biologiques. Elle permet d’observer des structures à très haute résolution. Elle est utilisée pour des analyses structurales détaillées.;Electron microscopy platform for biological samples. It enables observation of structures at very high resolution. It is used for detailed structural analyses.;Plattform für Elektronenmikroskopie an biologischen Proben. Sie ermöglicht die Beobachtung von Strukturen in sehr hoher Auflösung. Sie wird für detaillierte Strukturanalysen genutzt.;Piattaforma di microscopia elettronica per campioni biologici. Consente di osservare strutture ad altissima risoluzione. Viene utilizzata per analisi strutturali dettagliate.
Biomolecular Screening Facility;BSF;gerardo.turcatti@epfl.ch;Researchers;Data Collection;https://www.epfl.ch/research/facilities/biomolecular-screening/;46.52069665;6.563729327;AAB 0 03;Plateforme de criblage biomoléculaire à haut débit. Elle permet de tester de nombreux échantillons et d’identifier des interactions biologiques. Elle est utilisée dans les projets de recherche biomédicale et pharmaceutique.;High-throughput biomolecular screening platform. It enables testing of numerous samples and identification of biological interactions. It is used in biomedical and pharmaceutical research projects.;Plattform für hochdurchsatzfähiges biomolekulares Screening. Sie ermöglicht das Testen zahlreicher Proben und die Identifizierung biologischer Wechselwirkungen. Sie wird in biomedizinischen und pharmazeutischen Forschungsprojekten eingesetzt.;Piattaforma di screening biomolecolare ad alta produttività. Consente di testare numerosi campioni e di identificare interazioni biologiche. Viene utilizzata in progetti di ricerca biomedica e farmaceutica.
Center for Biomedical Imaging;CIBM;info@cibm.ch;Researchers;Data Collection;https://cibm.ch/support/;46.51940137;6.569593524;CH F0 622;Centre regroupant des technologies d’imagerie biomédicale. Il permet d’acquérir des données à différentes échelles. Il est utilisé pour les projets interdisciplinaires en imagerie.;Center bringing together biomedical imaging technologies. It enables data acquisition at different scales. It is used for interdisciplinary imaging projects.;Zentrum für biomedizinische Bildgebungstechnologien. Es ermöglicht die Erfassung von Daten auf verschiedenen Skalen. Es wird für interdisziplinäre Bildgebungsprojekte genutzt.;Centro che riunisce tecnologie di imaging biomedico. Consente di acquisire dati su diverse scale. Viene utilizzato per progetti interdisciplinari nel campo dell’imaging.
Center for imaging;IMAGING-GE;imaging@epfl.ch;Researchers;Data Collection;https://imaging.epfl.ch/;46.51907065;6.564837828;ELE 130;Service coordonnant les ressources d’imagerie à l’EPFL. Il facilite l’accès aux différentes plateformes disponibles. Il est utilisé pour orienter et accompagner les projets en imagerie.;Service coordinating imaging resources at EPFL. It facilitates access to the various available platforms. It is used to guide and support imaging projects.;Dienststelle zur Koordination der Bildgebungsressourcen an der EPFL. Sie erleichtert den Zugang zu den verschiedenen verfügbaren Plattformen. Sie wird zur Beratung und Begleitung von Bildgebungsprojekten genutzt.;Servizio che coordina le risorse di imaging presso l’EPFL. Facilita l’accesso alle diverse piattaforme disponibili. Viene utilizzato per orientare e accompagnare i progetti di imaging.
Center of MicroNanoTechnology;CMI;philippe.fluckiger@epfl.ch;Researchers;Data Collection;https://www.epfl.ch/research/facilities/cmi/;46.52122189;6.565159953;BM 1124;Plateforme de micro- et nanofabrication. Elle permet de concevoir et fabriquer des dispositifs à petite échelle. Elle est utilisée dans les projets nécessitant des technologies de salle blanche.;Micro- and nanofabrication platform. It enables the design and fabrication of small-scale devices. It is used in projects requiring cleanroom technologies.;Plattform für Mikro- und Nanofabrikation. Sie ermöglicht die Entwicklung und Herstellung von Geräten im Kleinstmaßstab. Sie wird in Projekten eingesetzt, die Reinraumtechnologien erfordern.;Piattaforma di micro e nanofabbricazione. Consente di progettare e realizzare dispositivi su piccola scala. Viene utilizzata in progetti che richiedono tecnologie da camera bianca.
Center of PhenoGenomics;CPG;xavier.warot@epfl.ch;Researchers;Data Collection;https://www.epfl.ch/research/facilities/cpg/;46.51995324;6.5624469;SV 1840;Plateforme pour l’étude des phénotypes dans des modèles biologiques. Elle fournit des infrastructures pour la recherche animale. Elle est utilisée pour analyser les effets fonctionnels de modifications génétiques.;Platform for studying phenotypes in biological models. It provides infrastructure for animal research. It is used to analyze the functional effects of genetic modifications.;Plattform zur Untersuchung von Phänotypen in biologischen Modellen. Sie stellt Infrastrukturen für die Tierforschung bereit. Sie wird zur Analyse der funktionellen Auswirkungen genetischer Veränderungen genutzt.;Piattaforma per lo studio dei fenotipi in modelli biologici. Fornisce infrastrutture per la ricerca sugli animali. Viene utilizzata per analizzare gli effetti funzionali delle modificazioni genetiche.
Central Environmental Laboratory;GR-CEL;florian.breider@epfl.ch;Researchers;Data Collection;https://www.epfl.ch/labs/gr-cel/;46.52084002;6.568018683;GR A1 382;Laboratoire d’analyse chimique et environnementale. Il permet de caractériser des échantillons et détecter des contaminants. Il est utilisé dans les projets liés à l’environnement et à la chimie.;Chemical and environmental analysis laboratory. It enables characterization of samples and detection of contaminants. It is used in projects related to environmental science and chemistry.;Labor für chemische und Umweltanalytik. Es ermöglicht die Charakterisierung von Proben und den Nachweis von Schadstoffen. Es wird in Projekten im Bereich Umwelt und Chemie eingesetzt.;Laboratorio di analisi chimica e ambientale. Consente di caratterizzare campioni e rilevare contaminanti. Viene utilizzato in progetti legati all’ambiente e alla chimica.
Centre Européen de Calcul Atomique et Moléculaire;CECAM;helpdesk@cecam.org;Researchers;All;https://www.cecam.org/;46.52014387;6.572253612;BCH 3103;Organisation dédiée au calcul atomique et moléculaire. Elle propose des ateliers, formations et collaborations scientifiques. Elle est utilisée pour développer et appliquer des méthodes de simulation avancées.;Organization dedicated to atomic and molecular computing. It offers workshops, training, and scientific collaborations. It is used to develop and apply advanced simulation methods.;Organisation für atomare und molekulare Berechnungen. Sie bietet Workshops, Schulungen und wissenschaftliche Kooperationen an. Sie wird zur Entwicklung und Anwendung fortschrittlicher Simulationsmethoden genutzt.;Organizzazione dedicata al calcolo atomico e molecolare. Offre workshop, corsi di formazione e collaborazioni scientifiche. Viene utilizzata per sviluppare e applicare metodi di simulazione avanzati.
CostCalc;Library;researchdata@epfl.ch;Researchers;Planning & Design;https://costcalc.epfl.ch/;46.51866692;6.569234569;RLC D1 220;Outil d’estimation des coûts liés à la gestion des données. Il permet d’anticiper les besoins en stockage et archivage. Il est utilisé lors de la planification de projets ou de plans de gestion des données.;Tool for estimating costs related to data management. It helps anticipate storage and archiving needs. It is used during project planning or data management plan preparation.;Tool zur Schätzung der Kosten im Zusammenhang mit der Datenverwaltung. Es ermöglicht die Vorhersage des Speicher- und Archivierungsbedarfs. Es wird bei der Planung von Projekten oder Datenverwaltungsplänen eingesetzt.;Strumento di stima dei costi legati alla gestione dei dati. Consente di anticipare le esigenze di archiviazione e conservazione. Viene utilizzato durante la pianificazione di progetti o piani di gestione dei dati.
Crystal Growth Facility;IPHYS-CGCP;arnaud.magrez@epfl.ch;Researchers;Data Collection;https://www.epfl.ch/schools/sb/research/iphys/our-services/crystal-growth-facility/;46.52107334;6.570030985;PH D3 434;Plateforme spécialisée dans la croissance de cristaux. Elle permet de produire des matériaux cristallins pour la recherche. Elle est utilisée dans les projets nécessitant des échantillons cristallins spécifiques.;Platform specialized in crystal growth. It enables the production of crystalline materials for research. It is used in projects requiring specific crystalline samples.;Plattform, die auf Kristallzüchtung spezialisiert ist. Sie ermöglicht die Herstellung kristalliner Materialien für die Forschung. Sie wird in Projekten eingesetzt, die spezifische kristalline Proben erfordern.;Piattaforma specializzata nella crescita dei cristalli. Consente di produrre materiali cristallini per la ricerca. Viene utilizzata in progetti che richiedono campioni cristallini specifici.
Data & Code Help Desk;ENAC-IT4Research;enacitresearch@epfl.ch;Researchers;Planning & Design;https://www.epfl.ch/schools/enac/about/data-at-enac/enac-it4research/;46.52082108;6.565460319;GC D1 398;Service de support pour la gestion des données et du code. Il aide à structurer, documenter et organiser les ressources de recherche. Il est utilisé pour améliorer la reproductibilité et les bonnes pratiques.;Support service for data and code management. It helps structure, document, and organize research resources. It is used to improve reproducibility and best practices.;Supportdienst für Daten- und Codemanagement. Er hilft bei der Strukturierung, Dokumentation und Organisation von Forschungsressourcen. Er wird zur Verbesserung der Reproduzierbarkeit und zur Förderung bewährter Praktiken eingesetzt.;Servizio di supporto per la gestione dei dati e del codice. Aiuta a strutturare, documentare e organizzare le risorse di ricerca. Viene utilizzato per migliorare la riproducibilità e le buone pratiche.
Data Protection Office;DPO;dpo@epfl.ch;Researchers;Use & Store;https://www.epfl.ch/campus/services/data-protection/fr/delegue-a-la-protection-des-donnees/;46.52046274;6.570986969;BS 248;Service chargé de la protection des données à l’EPFL. Il conseille sur les aspects légaux et réglementaires. Il est utilisé pour les projets impliquant des données personnelles ou sensibles.;Service responsible for data protection at EPFL. It provides guidance on legal and regulatory aspects. It is used for projects involving personal or sensitive data.;Dienststelle für Datenschutz an der EPFL. Sie berät zu rechtlichen und regulatorischen Aspekten. Sie wird für Projekte eingesetzt, die personenbezogene oder sensible Daten betreffen.;Servizio responsabile della protezione dei dati presso l'EPFL. Fornisce consulenza su aspetti legali e normativi. Viene utilizzato per progetti che coinvolgono dati personali o sensibili.
DeepLabCut;UPMWMATHIS;mackenzie@deeplabcut.org;Researchers;Processing & Analysis;https://www.mackenziemathislab.org/deeplabcut;46.22193654;6.14829515;Campus Biotech B1-3;Outil d’analyse du mouvement basé sur le deep learning. Il permet de suivre automatiquement des points d’intérêt à partir de vidéos. Il est utilisé pour analyser des comportements ou des mouvements sans marquage.;Deep learning–based motion analysis tool. It automatically tracks points of interest from videos. It is used to analyze behaviors or movements without markers.;Ein auf Deep Learning basierendes Tool zur Bewegungsanalyse. Es ermöglicht die automatische Verfolgung von Interessenspunkten in Videos. Es wird zur Analyse von Verhaltensweisen oder Bewegungen ohne Markierung verwendet.;Strumento di analisi del movimento basato sul deep learning. Consente di tracciare automaticamente punti di interesse a partire da video. Viene utilizzato per analizzare comportamenti o movimenti senza marcatura.
Distrilog;DSI;support@epfl.ch;Researchers;All;https://distrilog.epfl.ch;46.52014;6.567684;MA A0 388;Service de distribution de logiciels pour la communauté EPFL. Il permet d’accéder à des logiciels sous licence institutionnelle. Il est utilisé pour installer rapidement des outils nécessaires à la recherche ou à l’enseignement.;Software distribution service for the EPFL community. It provides access to institutionally licensed software. It is used to quickly install tools required for research or teaching.;Softwareverteilungsdienst für die EPFL-Community. Er ermöglicht den Zugriff auf Software unter institutioneller Lizenz. Er wird genutzt, um schnell Tools zu installieren, die für Forschung oder Lehre benötigt werden.;Servizio di distribuzione di software per la comunità EPFL. Consente di accedere a software con licenza istituzionale. Viene utilizzato per installare rapidamente gli strumenti necessari alla ricerca o all'insegnamento.
Distrilog étudiants;DSI;support@epfl.ch;Students;All;https://distrilog-etudiants.epfl.ch;46.52014;6.567684;MA A0 388;Service de distribution de logiciels destiné aux étudiants. Il permet d’accéder à des logiciels utiles pour les études. Il est utilisé pour équiper les postes étudiants avec les outils requis.;Software distribution service for students. It provides access to software useful for studies. It is used to equip student workstations with required tools.;Softwareverteilungsdienst für Studierende. Er ermöglicht den Zugriff auf Software, die für das Studium nützlich ist. Er wird genutzt, um die Arbeitsplätze der Studierenden mit den erforderlichen Tools auszustatten.;Servizio di distribuzione software destinato agli studenti. Consente di accedere a software utili per gli studi. Viene utilizzato per dotare le postazioni degli studenti degli strumenti necessari.
Dubochet Center For Imaging;DCI;alexander.myasnikov@epfl.ch;Researchers;Data Collection;https://dci-lausanne.ch/;46.51960553;6.574370194;GEN 2116;Centre spécialisé en imagerie structurale avancée. Il permet de produire des données à très haute résolution, notamment en cryo-microscopie électronique. Il est utilisé pour étudier la structure fine de systèmes biologiques.;Center specialized in advanced structural imaging. It enables the production of very high-resolution data, particularly through cryo-electron microscopy. It is used to study the fine structure of biological systems.;Zentrum für fortgeschrittene strukturelle Bildgebung. Es ermöglicht die Erzeugung von Daten mit sehr hoher Auflösung, insbesondere in der Kryo-Elektronenmikroskopie. Es wird zur Untersuchung der Feinstruktur biologischer Systeme genutzt.;Centro specializzato in imaging strutturale avanzato. Consente di produrre dati ad altissima risoluzione, in particolare nella criomicroscopia elettronica. Viene utilizzato per studiare la struttura fine dei sistemi biologici.
Ecocloud;ECOCLOUD;contact.ecocloud@epfl.ch;Researchers;Use & Store;https://ecocloud.epfl.ch/;46.51831068;6.563698409;INJ 233;Infrastructure cloud pour le calcul et le stockage de données. Elle permet de déployer des ressources informatiques à la demande. Elle est utilisée pour des projets nécessitant flexibilité et scalabilité.;Cloud infrastructure for computing and data storage. It enables on-demand deployment of computing resources. It is used for projects requiring flexibility and scalability.;Cloud-Infrastruktur für Datenverarbeitung und -speicherung. Sie ermöglicht die bedarfsgerechte Bereitstellung von Rechenressourcen. Sie wird für Projekte genutzt, die Flexibilität und Skalierbarkeit erfordern.;Infrastruttura cloud per l'elaborazione e l'archiviazione dei dati. Consente di distribuire risorse informatiche su richiesta. Viene utilizzata per progetti che richiedono flessibilità e scalabilità.
eln.epfl.ch;ISIC-ITDMP;luc.patiny@epfl.ch;Researchers;Use & Store;https://eln.epfl.ch/;46.51936102;6.569982935;CH G1 621;Cahier de laboratoire électronique. Il permet de documenter des expériences et de structurer les données associées. Il est utilisé pour assurer la traçabilité et l’organisation du travail expérimental.;Electronic laboratory notebook. It enables documentation of experiments and structuring of associated data. It is used to ensure traceability and organization of experimental work.;Elektronisches Laborbuch. Es ermöglicht die Dokumentation von Experimenten und die Strukturierung der zugehörigen Daten. Es wird eingesetzt, um die Rückverfolgbarkeit und Organisation der experimentellen Arbeit sicherzustellen.;Quaderno di laboratorio elettronico. Permette di documentare gli esperimenti e di strutturare i dati associati. Viene utilizzato per garantire la tracciabilità e l'organizzazione del lavoro sperimentale.
Flow Cytometry Core Facility;PTCF;sv.cytometry@epfl.ch;Researchers;Data Collection;https://www.epfl.ch/research/facilities/cytometry/;46.52051454;6.562814016;AI 0147;Plateforme de cytométrie en flux. Elle permet d’analyser des cellules selon différents paramètres biologiques. Elle est utilisée pour caractériser des populations cellulaires.;Flow cytometry platform. It enables analysis of cells according to various biological parameters. It is used to characterize cell populations.;Durchflusszytometrie-Plattform. Sie ermöglicht die Analyse von Zellen anhand verschiedener biologischer Parameter. Sie wird zur Charakterisierung von Zellpopulationen eingesetzt.;Piattaforma di citometria a flusso. Consente di analizzare le cellule in base a diversi parametri biologici. Viene utilizzata per caratterizzare le popolazioni cellulari.
Gene Expression Core Facility;PTEG;gecf@epfl.ch;Researchers;Data Collection;https://www.epfl.ch/research/facilities/gene-expression-core-facility/;46.51996095;6.562369727;SV 1841;Plateforme d’analyse de l’expression génique. Elle permet de mesurer l’activité des gènes à l’aide de techniques moléculaires. Elle est utilisée pour étudier les mécanismes biologiques au niveau génétique.;Gene expression analysis platform. It enables measurement of gene activity using molecular techniques. It is used to study biological mechanisms at the genetic level.;Plattform zur Genexpressionsanalyse. Sie ermöglicht die Messung der Genaktivität mithilfe molekularer Techniken. Sie wird zur Untersuchung biologischer Mechanismen auf genetischer Ebene eingesetzt.;Piattaforma di analisi dell'espressione genica. Consente di misurare l'attività dei geni utilizzando tecniche molecolari. Viene utilizzata per studiare i meccanismi biologici a livello genetico.
Gimie;SDSC;contact@datascience.ch;Researchers;Discover & Reuse;https://github.com/sdsc-ordes/gimie;46.51881514;6.562325086;INN 218;Outil de gestion et de découverte de données de recherche. Il permet d’organiser des métadonnées et de faciliter l’exploration des ressources. Il est utilisé pour améliorer la visibilité et la réutilisation des données.;Research data management and discovery tool. It enables organization of metadata and facilitates resource exploration. It is used to improve data visibility and reuse.;Tool zur Verwaltung und Erschließung von Forschungsdaten. Es ermöglicht die Organisation von Metadaten und erleichtert die Erkundung von Ressourcen. Es wird eingesetzt, um die Sichtbarkeit und Wiederverwendbarkeit von Daten zu verbessern.;Strumento di gestione e scoperta dei dati di ricerca. Permette di organizzare i metadati e facilitare l’esplorazione delle risorse. Viene utilizzato per migliorare la visibilità e il riutilizzo dei dati.
GitLab EPFL;DSI;support@epfl.ch;Researchers;Use & Store;https://gitlab.epfl.ch/;46.52014;6.567684;MA A0 388;Plateforme de gestion de code et de collaboration. Elle permet d’héberger, versionner et partager du code. Elle est utilisée pour travailler en équipe sur des projets logiciels ou scientifiques.;Code management and collaboration platform. It enables hosting, versioning, and sharing of code. It is used for teamwork on software or scientific projects.;Plattform für Code-Management und Zusammenarbeit. Sie ermöglicht das Hosten, Versionieren und Teilen von Code. Sie wird eingesetzt, um im Team an Software- oder wissenschaftlichen Projekten zu arbeiten.;Piattaforma di gestione del codice e di collaborazione. Permette di ospitare, gestire le versioni e condividere il codice. Viene utilizzata per lavorare in team su progetti software o scientifici.
Google Drive EPFL;DSI;support@epfl.ch;Researchers;Use & Store;http://gdrive.epfl.ch/;46.52014;6.567684;MA A0 388;Service de stockage et de partage de fichiers dans le cloud. Il permet d’accéder aux documents depuis différents appareils. Il est utilisé pour collaborer et partager des fichiers facilement.;Cloud-based file storage and sharing service. It enables access to documents from different devices. It is used to collaborate and share files easily.;Dienst zur Speicherung und gemeinsamen Nutzung von Dateien in der Cloud. Er ermöglicht den Zugriff auf Dokumente von verschiedenen Geräten aus. Er wird zur einfachen Zusammenarbeit und zum Austausch von Dateien genutzt.;Servizio di archiviazione e condivisione di file nel cloud. Consente di accedere ai documenti da diversi dispositivi. Viene utilizzato per collaborare e condividere file facilmente.
Histology Core Facility;PTH;info.hcf@epfl.ch;Researchers;Data Collection;https://www.epfl.ch/research/facilities/histology-core-facility/;46.52051124;6.562970118;AI 0142;Plateforme d’histologie. Elle permet de préparer et analyser des tissus biologiques. Elle est utilisée pour des études microscopiques et structurales.;Histology platform. It enables preparation and analysis of biological tissues. It is used for microscopic and structural studies.;Plattform für die Histologie. Sie ermöglicht die Präparation und Analyse von biologischem Gewebe. Sie wird für mikroskopische und strukturelle Untersuchungen genutzt.;Piattaforma di istologia. Consente di preparare e analizzare tessuti biologici. Viene utilizzata per studi microscopici e strutturali.
Human Research Ethics Committee;HREC;research@epfl.ch;Researchers;Planning & Design;https://www.epfl.ch/research/ethic-statement/human-research-ethics-committee/;46.51954947;6.568104735;MA C2 573;Comité chargé d’évaluer les projets impliquant des humains. Il vérifie la conformité aux exigences éthiques et réglementaires. Il est utilisé avant le démarrage de toute recherche impliquant des participants humains.;Committee responsible for evaluating projects involving humans. It verifies compliance with ethical and regulatory requirements. It is used before starting any research involving human participants.;Ausschuss zur Bewertung von Projekten mit menschlichen Probanden. Er überprüft die Einhaltung ethischer und regulatorischer Anforderungen. Er wird vor Beginn jeder Forschung mit menschlichen Teilnehmern einberufen.;Comitato incaricato di valutare i progetti che coinvolgono esseri umani. Verifica la conformità ai requisiti etici e normativi. Viene utilizzato prima dell'avvio di qualsiasi ricerca che coinvolga partecipanti umani.
